Minor,9/20/2018 10:20:47,9/20/18 10:21,0:00:32,BLRJYN-MCM-O-I614-01,Non service-affecting,DOC-2-1,DOC Action: Channel Add In Progress,CHADD_IP,No,No,Processing,DOC Channel Add In Progress,SP-2 | Dual CPU,No
Minor,9/20/2018 10:20:49,9/20/18 10:21,0:00:37,BLRBID-MCN-O-I614-01,Non service-affecting,DOC-1-1,DOC Action: Channel Add In Progress,CHADD_IP,No,No,Processing,DOC Channel Add In Progress,SP-2 | Dual CPU,No
Major,9/20/2018 10:20:53,9/20/18 10:21,0:00:12,BLRVNG-MCN-O-I614-01,Service-affecting,OPTMON-2-1-23,Loss Of Signal,LOS_OTS,No,No,Communication,Signal Fail,CCMD12 | C-Band,No
Major,9/20/2018 10:21:03,9/20/18 10:24,0:03:12,BLRBID-MCN-O-I614-01,Service-affecting,OTM4-1-10-1,TX Tuning In Progress,TXTUNE_IP,No,No,Communication,Transmit Tuning In Progress,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Minor,9/20/2018 10:21:07,9/20/18 12:25,2:04:37,BLRDME-MCM-O-I614-01,Non service-affecting,NMCC-2-2-9-1-1,"Channel Degrade, CENTERFREQ=195.750000",SIGNAL_DEGRADE_OCH,No,No,Communication,Signal Degraded,SMD Flex | C-Band | 8x1,No
Minor,9/20/2018 10:21:24,9/20/18 10:21,0:00:32,BLRVNG-MCN-O-I614-01,Non service-affecting,DOC-3-1,DOC Action: Channel Add In Progress,CHADD_IP,No,No,Processing,DOC Channel Add In Progress,SP-2 | Dual CPU,No
Minor,9/20/2018 10:21:25,9/20/18 10:21,0:00:31,BLRVNG-MCN-O-I614-01,Non service-affecting,DOC-1-2,DOC Action: Channel Add In Progress,CHADD_IP,No,No,Processing,DOC Channel Add In Progress,SP-2 | Dual CPU,No
Minor,9/20/2018 10:21:32,9/20/18 10:22,0:00:37,BLRVNG-MCN-O-I614-01,Non service-affecting,DOC-1-1,DOC Action: Channel Add In Progress,CHADD_IP,No,No,Processing,DOC Channel Add In Progress,SP-2 | Dual CPU,No
Critical,9/20/2018 10:21:38,9/20/18 10:21,0:00:02,BLRBID-MCN-O-I614-01,Service-affecting,OTM4-3-6-1,Loss Of Channel,LOCH,No,No,Communication,Signal Fail,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
Minor,9/20/2018 10:21:40,9/20/18 10:22,0:00:21,BLRBID-MCN-O-I614-01,Non service-affecting,OTM4-3-6-1,OTU BDI,BDI_OTU,No,No,Communication,Backward Defect Indication,100G MOTR | WL3n Extnd C-Band | 10xSFP+,No
